CLIENT - 2020-10-11 20:13:05,013 - ENVIADO | TIPO: 1 | TAMANHO: 24
CLIENT - 2020-10-11 20:13:06,360 - RECEBIDO | TIPO: 2 | TAMANHO: 24
CLIENT - 2020-10-11 20:13:06,365 - RECEBIDO | TIPO: 2 | TAMANHO: 24
CLIENT - 2020-10-11 20:13:06,371 - COMEÇANDO A ENVIAR A IMAGEM
CLIENT - 2020-10-11 20:13:06,805 - ENVIADO | TIPO: 3 | TAMANHO: 128 | PACOTES ENVIADOS: 1/17
CLIENT - 2020-10-11 20:13:10,205 - RECEBIDO | TIPO: 5 | TAMANHO: 24 | CRC: b'\xdb\xe7' | PACOTE SOLICITADO: 0
CLIENT - 2020-10-11 20:13:10,211 - ENVIANDO PACOTE NOVAMENTE
CLIENT - 2020-10-11 20:13:10,570 - ENVIADO | TIPO: 3 | TAMANHO: 128 | PACOTES ENVIADOS: 1/17
CLIENT - 2020-10-11 20:13:30,974 - ENCERRANDO COMUNICAÇÃO POR FALTA DE RESPOSTA DO SERVER
CLIENT - 2020-10-11 20:13:30,975 - ENVIADO | TIPO: 5 | TAMANHO: 24
