CLIENT - 2020-10-11 20:10:27,062 - ENVIADO | TIPO: 1 | TAMANHO: 24
CLIENT - 2020-10-11 20:10:32,376 - ENVIADO | TIPO: 1 | TAMANHO: 24
CLIENT - 2020-10-11 20:10:37,774 - ENVIADO | TIPO: 1 | TAMANHO: 24
CLIENT - 2020-10-11 20:10:39,184 - RECEBIDO | TIPO: 2 | TAMANHO: 24
CLIENT - 2020-10-11 20:10:39,184 - RECEBIDO | TIPO: 2 | TAMANHO: 24
CLIENT - 2020-10-11 20:10:39,184 - COMEÇANDO A ENVIAR A IMAGEM
CLIENT - 2020-10-11 20:10:39,587 - ENVIADO | TIPO: 3 | TAMANHO: 128 | PACOTES ENVIADOS: 1/17
CLIENT - 2020-10-11 20:10:39,997 - RECEBIDO | TIPO: 4 | TAMANHO: 24 | CRC: b'\xdb\xe7' | ULTIMO PACOTE RECEBIDO PELO SERVIDOR: 1
CLIENT - 2020-10-11 20:10:40,364 - ENVIADO | TIPO: 3 | TAMANHO: 128 | PACOTES ENVIADOS: 2/17
CLIENT - 2020-10-11 20:10:40,779 - RECEBIDO | TIPO: 4 | TAMANHO: 24 | CRC: b'\xdb\xe7' | ULTIMO PACOTE RECEBIDO PELO SERVIDOR: 2
CLIENT - 2020-10-11 20:10:41,140 - ENVIADO | TIPO: 3 | TAMANHO: 128 | PACOTES ENVIADOS: 3/17
CLIENT - 2020-10-11 20:10:41,550 - RECEBIDO | TIPO: 4 | TAMANHO: 24 | CRC: b'\xdb\xe7' | ULTIMO PACOTE RECEBIDO PELO SERVIDOR: 3
CLIENT - 2020-10-11 20:10:41,911 - ENVIADO | TIPO: 3 | TAMANHO: 128 | PACOTES ENVIADOS: 4/17
CLIENT - 2020-10-11 20:10:42,342 - RECEBIDO | TIPO: 4 | TAMANHO: 24 | CRC: b'\xdb\xe7' | ULTIMO PACOTE RECEBIDO PELO SERVIDOR: 4
CLIENT - 2020-10-11 20:10:42,697 - ENVIADO | TIPO: 3 | TAMANHO: 128 | PACOTES ENVIADOS: 5/17
CLIENT - 2020-10-11 20:10:43,109 - RECEBIDO | TIPO: 4 | TAMANHO: 24 | CRC: b'\xdb\xe7' | ULTIMO PACOTE RECEBIDO PELO SERVIDOR: 5
CLIENT - 2020-10-11 20:10:43,478 - ENVIADO | TIPO: 3 | TAMANHO: 128 | PACOTES ENVIADOS: 6/17
CLIENT - 2020-10-11 20:10:43,890 - RECEBIDO | TIPO: 4 | TAMANHO: 24 | CRC: b'\xdb\xe7' | ULTIMO PACOTE RECEBIDO PELO SERVIDOR: 6
CLIENT - 2020-10-11 20:10:44,249 - ENVIADO | TIPO: 3 | TAMANHO: 128 | PACOTES ENVIADOS: 7/17
CLIENT - 2020-10-11 20:10:44,682 - RECEBIDO | TIPO: 4 | TAMANHO: 24 | CRC: b'\xdb\xe7' | ULTIMO PACOTE RECEBIDO PELO SERVIDOR: 7
CLIENT - 2020-10-11 20:10:45,044 - ENVIADO | TIPO: 3 | TAMANHO: 128 | PACOTES ENVIADOS: 8/17
CLIENT - 2020-10-11 20:10:45,404 - RECEBIDO | TIPO: 4 | TAMANHO: 24 | CRC: b'\xdb\xe7' | ULTIMO PACOTE RECEBIDO PELO SERVIDOR: 8
CLIENT - 2020-10-11 20:10:45,782 - ENVIADO | TIPO: 3 | TAMANHO: 128 | PACOTES ENVIADOS: 9/17
CLIENT - 2020-10-11 20:10:46,206 - RECEBIDO | TIPO: 4 | TAMANHO: 24 | CRC: b'\xdb\xe7' | ULTIMO PACOTE RECEBIDO PELO SERVIDOR: 9
CLIENT - 2020-10-11 20:10:46,565 - ENVIADO | TIPO: 3 | TAMANHO: 128 | PACOTES ENVIADOS: 10/17
CLIENT - 2020-10-11 20:10:47,004 - RECEBIDO | TIPO: 4 | TAMANHO: 24 | CRC: b'\xdb\xe7' | ULTIMO PACOTE RECEBIDO PELO SERVIDOR: 10
CLIENT - 2020-10-11 20:10:47,366 - ENVIADO | TIPO: 3 | TAMANHO: 128 | PACOTES ENVIADOS: 11/17
CLIENT - 2020-10-11 20:10:47,784 - RECEBIDO | TIPO: 4 | TAMANHO: 24 | CRC: b'\xdb\xe7' | ULTIMO PACOTE RECEBIDO PELO SERVIDOR: 11
CLIENT - 2020-10-11 20:10:48,145 - ENVIADO | TIPO: 3 | TAMANHO: 128 | PACOTES ENVIADOS: 12/17
CLIENT - 2020-10-11 20:10:48,542 - RECEBIDO | TIPO: 4 | TAMANHO: 24 | CRC: b'\xdb\xe7' | ULTIMO PACOTE RECEBIDO PELO SERVIDOR: 12
CLIENT - 2020-10-11 20:10:48,905 - ENVIADO | TIPO: 3 | TAMANHO: 128 | PACOTES ENVIADOS: 13/17
CLIENT - 2020-10-11 20:10:49,368 - RECEBIDO | TIPO: 4 | TAMANHO: 24 | CRC: b'\xdb\xe7' | ULTIMO PACOTE RECEBIDO PELO SERVIDOR: 13
CLIENT - 2020-10-11 20:10:49,729 - ENVIADO | TIPO: 3 | TAMANHO: 128 | PACOTES ENVIADOS: 14/17
CLIENT - 2020-10-11 20:10:50,088 - RECEBIDO | TIPO: 4 | TAMANHO: 24 | CRC: b'\xdb\xe7' | ULTIMO PACOTE RECEBIDO PELO SERVIDOR: 14
CLIENT - 2020-10-11 20:10:50,449 - ENVIADO | TIPO: 3 | TAMANHO: 128 | PACOTES ENVIADOS: 15/17
CLIENT - 2020-10-11 20:10:50,759 - RECEBIDO | TIPO: 4 | TAMANHO: 24 | CRC: b'\xdb\xe7' | ULTIMO PACOTE RECEBIDO PELO SERVIDOR: 15
CLIENT - 2020-10-11 20:10:51,124 - ENVIADO | TIPO: 3 | TAMANHO: 128 | PACOTES ENVIADOS: 16/17
CLIENT - 2020-10-11 20:10:51,546 - RECEBIDO | TIPO: 4 | TAMANHO: 24 | CRC: b'\xdb\xe7' | ULTIMO PACOTE RECEBIDO PELO SERVIDOR: 16
CLIENT - 2020-10-11 20:10:51,907 - ENVIADO | TIPO: 3 | TAMANHO: 101 | PACOTES ENVIADOS: 17/17
CLIENT - 2020-10-11 20:10:52,434 - RECEBIDO | TIPO: 4 | TAMANHO: 24 | CRC: b'\xdb\xe7' | ULTIMO PACOTE RECEBIDO PELO SERVIDOR: 17
CLIENT - 2020-10-11 20:10:52,452 - TODOS OS PACOTES ENVIADOS, ENCERRANDO COMUNICAÇÃO
