CLIENT - 2020-10-11 20:05:11,659 - ENVIADO | TIPO: 1 | TAMANHO: 24
CLIENT - 2020-10-11 20:05:13,018 - RECEBIDO | TIPO: 2 | TAMANHO: 24
CLIENT - 2020-10-11 20:05:13,024 - RECEBIDO | TIPO: 2 | TAMANHO: 24
CLIENT - 2020-10-11 20:05:13,024 - COMEÇANDO A ENVIAR A IMAGEM
CLIENT - 2020-10-11 20:05:13,426 - ENVIADO | TIPO: 3 | TAMANHO: 128 | PACOTES ENVIADOS: 1/17
CLIENT - 2020-10-11 20:05:13,935 - RECEBIDO | TIPO: 4 | TAMANHO: 24 | CRC: b'\xdb\xe7' | ULTIMO PACOTE RECEBIDO PELO SERVIDOR: 1
CLIENT - 2020-10-11 20:05:14,295 - ENVIADO | TIPO: 3 | TAMANHO: 128 | PACOTES ENVIADOS: 2/17
CLIENT - 2020-10-11 20:05:14,704 - RECEBIDO | TIPO: 6 | TAMANHO: 24 | CRC: b'\xdb\xe7' | PACOTE SOLICITADO: 1
CLIENT - 2020-10-11 20:05:14,710 - ENVIANDO PACOTE NOVAMENTE
CLIENT - 2020-10-11 20:05:15,077 - ENVIADO | TIPO: 3 | TAMANHO: 128 | PACOTES ENVIADOS: 2/17
CLIENT - 2020-10-11 20:05:15,483 - RECEBIDO | TIPO: 6 | TAMANHO: 24 | CRC: b'\xdb\xe7' | PACOTE SOLICITADO: 1
CLIENT - 2020-10-11 20:05:15,483 - ENVIANDO PACOTE NOVAMENTE
CLIENT - 2020-10-11 20:05:15,842 - ENVIADO | TIPO: 3 | TAMANHO: 128 | PACOTES ENVIADOS: 2/17
CLIENT - 2020-10-11 20:05:16,254 - RECEBIDO | TIPO: 6 | TAMANHO: 24 | CRC: b'\xdb\xe7' | PACOTE SOLICITADO: 1
CLIENT - 2020-10-11 20:05:16,260 - ENVIANDO PACOTE NOVAMENTE
CLIENT - 2020-10-11 20:05:16,628 - ENVIADO | TIPO: 3 | TAMANHO: 128 | PACOTES ENVIADOS: 2/17
CLIENT - 2020-10-11 20:05:17,011 - RECEBIDO | TIPO: 6 | TAMANHO: 24 | CRC: b'\xdb\xe7' | PACOTE SOLICITADO: 1
CLIENT - 2020-10-11 20:05:17,011 - ENVIANDO PACOTE NOVAMENTE
CLIENT - 2020-10-11 20:05:17,365 - ENVIADO | TIPO: 3 | TAMANHO: 128 | PACOTES ENVIADOS: 2/17
CLIENT - 2020-10-11 20:05:17,765 - RECEBIDO | TIPO: 6 | TAMANHO: 24 | CRC: b'\xdb\xe7' | PACOTE SOLICITADO: 1
CLIENT - 2020-10-11 20:05:17,765 - ENVIANDO PACOTE NOVAMENTE
CLIENT - 2020-10-11 20:05:18,118 - ENVIADO | TIPO: 3 | TAMANHO: 128 | PACOTES ENVIADOS: 2/17
CLIENT - 2020-10-11 20:05:18,541 - RECEBIDO | TIPO: 6 | TAMANHO: 24 | CRC: b'\xdb\xe7' | PACOTE SOLICITADO: 1
CLIENT - 2020-10-11 20:05:18,541 - ENVIANDO PACOTE NOVAMENTE
CLIENT - 2020-10-11 20:05:18,898 - ENVIADO | TIPO: 3 | TAMANHO: 128 | PACOTES ENVIADOS: 2/17
CLIENT - 2020-10-11 20:05:19,358 - RECEBIDO | TIPO: 6 | TAMANHO: 24 | CRC: b'\xdb\xe7' | PACOTE SOLICITADO: 1
CLIENT - 2020-10-11 20:05:19,358 - ENVIANDO PACOTE NOVAMENTE
CLIENT - 2020-10-11 20:05:19,716 - ENVIADO | TIPO: 3 | TAMANHO: 128 | PACOTES ENVIADOS: 2/17
CLIENT - 2020-10-11 20:05:20,128 - RECEBIDO | TIPO: 6 | TAMANHO: 24 | CRC: b'\xdb\xe7' | PACOTE SOLICITADO: 1
CLIENT - 2020-10-11 20:05:20,134 - ENVIANDO PACOTE NOVAMENTE
CLIENT - 2020-10-11 20:05:20,501 - ENVIADO | TIPO: 3 | TAMANHO: 128 | PACOTES ENVIADOS: 2/17
