SERVER - 2020-10-11 19:59:27,332 - SERVIDOR OCIOSO
SERVER - 2020-10-11 19:59:30,057 - RECEBIDO | TIPO: 1 | TAMANHO: 24
SERVER - 2020-10-11 19:59:31,440 - ENVIADO | TIPO: 2 | TAMANHO: 24
SERVER - 2020-10-11 19:59:31,852 - RECEBIDO | TIPO: 3 | TAMANHO: 128 | CRC: b'\x95\x11' | PACOTES RECEBIDOS: 1/17
SERVER - 2020-10-11 19:59:32,242 - ENVIADO | TIPO: 4 | TAMANHO: 24
SERVER - 2020-10-11 19:59:32,593 - RECEBIDO | TIPO: 3 | TAMANHO: 128 | CRC: b'\xc1c' | PACOTES RECEBIDOS: 2/17
SERVER - 2020-10-11 19:59:32,980 - ENVIADO | TIPO: 4 | TAMANHO: 24
SERVER - 2020-10-11 19:59:33,296 - RECEBIDO | TIPO: 3 | TAMANHO: 128 | CRC: b'\xa1\xa1' | PACOTES RECEBIDOS: 3/17
SERVER - 2020-10-11 19:59:33,674 - ENVIADO | TIPO: 4 | TAMANHO: 24
SERVER - 2020-10-11 19:59:34,044 - RECEBIDO | TIPO: 3 | TAMANHO: 128 | CRC: b'J\xc4' | PACOTES RECEBIDOS: 4/17
SERVER - 2020-10-11 19:59:34,415 - ENVIADO | TIPO: 4 | TAMANHO: 24
SERVER - 2020-10-11 19:59:34,707 - RECEBIDO | TIPO: 3 | TAMANHO: 128 | CRC: b'\x01B' | PACOTES RECEBIDOS: 5/17
SERVER - 2020-10-11 19:59:35,084 - ENVIADO | TIPO: 4 | TAMANHO: 24
SERVER - 2020-10-11 19:59:35,380 - RECEBIDO | TIPO: 3 | TAMANHO: 128 | CRC: b'\x1c\x10' | PACOTES RECEBIDOS: 6/17
SERVER - 2020-10-11 19:59:35,764 - ENVIADO | TIPO: 4 | TAMANHO: 24
SERVER - 2020-10-11 19:59:36,260 - RECEBIDO | TIPO: 3 | TAMANHO: 128 | CRC: b'\x12\r' | PACOTES RECEBIDOS: 7/17
SERVER - 2020-10-11 19:59:36,640 - ENVIADO | TIPO: 4 | TAMANHO: 24
SERVER - 2020-10-11 19:59:37,029 - RECEBIDO | TIPO: 3 | TAMANHO: 128 | CRC: b'&\x98' | PACOTES RECEBIDOS: 8/17
SERVER - 2020-10-11 19:59:37,405 - ENVIADO | TIPO: 4 | TAMANHO: 24
SERVER - 2020-10-11 19:59:37,812 - RECEBIDO | TIPO: 3 | TAMANHO: 128 | CRC: b'\xd5R' | PACOTES RECEBIDOS: 9/17
SERVER - 2020-10-11 19:59:38,197 - ENVIADO | TIPO: 4 | TAMANHO: 24
SERVER - 2020-10-11 19:59:38,608 - RECEBIDO | TIPO: 3 | TAMANHO: 128 | CRC: b'\x14m' | PACOTES RECEBIDOS: 10/17
SERVER - 2020-10-11 19:59:38,990 - ENVIADO | TIPO: 4 | TAMANHO: 24
SERVER - 2020-10-11 19:59:39,353 - RECEBIDO | TIPO: 3 | TAMANHO: 128 | CRC: b'\x1c\x10' | PACOTES RECEBIDOS: 11/17
SERVER - 2020-10-11 19:59:39,745 - ENVIADO | TIPO: 4 | TAMANHO: 24
SERVER - 2020-10-11 19:59:40,161 - RECEBIDO | TIPO: 3 | TAMANHO: 128 | CRC: b'\x12\r' | PACOTES RECEBIDOS: 12/17
SERVER - 2020-10-11 19:59:40,543 - ENVIADO | TIPO: 4 | TAMANHO: 24
SERVER - 2020-10-11 19:59:40,907 - RECEBIDO | TIPO: 3 | TAMANHO: 128 | CRC: b'&\x98' | PACOTES RECEBIDOS: 13/17
SERVER - 2020-10-11 19:59:41,290 - ENVIADO | TIPO: 4 | TAMANHO: 24
SERVER - 2020-10-11 19:59:41,547 - RECEBIDO | TIPO: 3 | TAMANHO: 128 | CRC: b'\xd5R' | PACOTES RECEBIDOS: 14/17
SERVER - 2020-10-11 19:59:41,931 - ENVIADO | TIPO: 4 | TAMANHO: 24
SERVER - 2020-10-11 19:59:42,339 - RECEBIDO | TIPO: 3 | TAMANHO: 128 | CRC: b'\x14m' | PACOTES RECEBIDOS: 15/17
SERVER - 2020-10-11 19:59:42,720 - ENVIADO | TIPO: 4 | TAMANHO: 24
SERVER - 2020-10-11 19:59:43,095 - RECEBIDO | TIPO: 3 | TAMANHO: 128 | CRC: b'\x1c\x10' | PACOTES RECEBIDOS: 16/17
SERVER - 2020-10-11 19:59:43,473 - ENVIADO | TIPO: 4 | TAMANHO: 24
SERVER - 2020-10-11 19:59:43,835 - RECEBIDO | TIPO: 3 | TAMANHO: 101 | CRC: b'\xc3&' | PACOTES RECEBIDOS: 17/17
SERVER - 2020-10-11 19:59:44,222 - ENVIADO | TIPO: 4 | TAMANHO: 24
