CLIENT - 2020-10-11 20:23:09,340 - ENVIADO | TIPO: 1 | TAMANHO: 24
CLIENT - 2020-10-11 20:23:10,678 - RECEBIDO | TIPO: 2 | TAMANHO: 24
CLIENT - 2020-10-11 20:23:10,683 - RECEBIDO | TIPO: 2 | TAMANHO: 24
CLIENT - 2020-10-11 20:23:10,683 - COMEÇANDO A ENVIAR A IMAGEM
CLIENT - 2020-10-11 20:23:11,079 - ENVIADO | TIPO: 3 | TAMANHO: 128 | PACOTES ENVIADOS: 1/17
CLIENT - 2020-10-11 20:23:26,139 - RECEBIDO | TIPO: 4 | TAMANHO: 24 | CRC: b'\xdb\xe7' | ULTIMO PACOTE RECEBIDO PELO SERVIDOR: 1
CLIENT - 2020-10-11 20:23:26,512 - ENVIADO | TIPO: 3 | TAMANHO: 128 | PACOTES ENVIADOS: 2/17
CLIENT - 2020-10-11 20:23:26,948 - RECEBIDO | TIPO: 4 | TAMANHO: 24 | CRC: b'\xdb\xe7' | ULTIMO PACOTE RECEBIDO PELO SERVIDOR: 2
CLIENT - 2020-10-11 20:23:27,315 - ENVIADO | TIPO: 3 | TAMANHO: 128 | PACOTES ENVIADOS: 3/17
CLIENT - 2020-10-11 20:23:27,724 - RECEBIDO | TIPO: 4 | TAMANHO: 24 | CRC: b'\xdb\xe7' | ULTIMO PACOTE RECEBIDO PELO SERVIDOR: 3
CLIENT - 2020-10-11 20:23:28,082 - ENVIADO | TIPO: 3 | TAMANHO: 128 | PACOTES ENVIADOS: 4/17
CLIENT - 2020-10-11 20:23:28,488 - RECEBIDO | TIPO: 4 | TAMANHO: 24 | CRC: b'\xdb\xe7' | ULTIMO PACOTE RECEBIDO PELO SERVIDOR: 4
CLIENT - 2020-10-11 20:23:28,859 - ENVIADO | TIPO: 3 | TAMANHO: 128 | PACOTES ENVIADOS: 5/17
CLIENT - 2020-10-11 20:23:29,265 - RECEBIDO | TIPO: 4 | TAMANHO: 24 | CRC: b'\xdb\xe7' | ULTIMO PACOTE RECEBIDO PELO SERVIDOR: 5
CLIENT - 2020-10-11 20:23:29,633 - ENVIADO | TIPO: 3 | TAMANHO: 128 | PACOTES ENVIADOS: 6/17
CLIENT - 2020-10-11 20:23:30,044 - RECEBIDO | TIPO: 4 | TAMANHO: 24 | CRC: b'\xdb\xe7' | ULTIMO PACOTE RECEBIDO PELO SERVIDOR: 6
CLIENT - 2020-10-11 20:23:30,398 - ENVIADO | TIPO: 3 | TAMANHO: 128 | PACOTES ENVIADOS: 7/17
