SERVER - 2020-10-11 20:23:06,197 - SERVIDOR OCIOSO
SERVER - 2020-10-11 20:23:09,321 - RECEBIDO | TIPO: 1 | TAMANHO: 24
SERVER - 2020-10-11 20:23:10,696 - ENVIADO | TIPO: 2 | TAMANHO: 24
SERVER - 2020-10-11 20:23:25,764 - RECEBIDO | TIPO: 3 | TAMANHO: 128 | CRC: b'\x95\x11' | PACOTES RECEBIDOS: 1/17
SERVER - 2020-10-11 20:23:26,143 - ENVIADO | TIPO: 4 | TAMANHO: 24
SERVER - 2020-10-11 20:23:26,506 - RECEBIDO | TIPO: 3 | TAMANHO: 128 | CRC: b'\xc1c' | PACOTES RECEBIDOS: 2/17
SERVER - 2020-10-11 20:23:26,892 - ENVIADO | TIPO: 4 | TAMANHO: 24
SERVER - 2020-10-11 20:23:27,262 - RECEBIDO | TIPO: 3 | TAMANHO: 128 | CRC: b'\xa1\xa1' | PACOTES RECEBIDOS: 3/17
SERVER - 2020-10-11 20:23:27,638 - ENVIADO | TIPO: 4 | TAMANHO: 24
SERVER - 2020-10-11 20:23:28,076 - RECEBIDO | TIPO: 3 | TAMANHO: 128 | CRC: b'J\xc4' | PACOTES RECEBIDOS: 4/17
SERVER - 2020-10-11 20:23:28,464 - ENVIADO | TIPO: 4 | TAMANHO: 24
SERVER - 2020-10-11 20:23:28,812 - RECEBIDO | TIPO: 3 | TAMANHO: 128 | CRC: b'\x01B' | PACOTES RECEBIDOS: 5/17
SERVER - 2020-10-11 20:23:29,197 - ENVIADO | TIPO: 4 | TAMANHO: 24
SERVER - 2020-10-11 20:23:29,617 - RECEBIDO | TIPO: 3 | TAMANHO: 128 | CRC: b'\x1c\x10' | PACOTES RECEBIDOS: 6/17
SERVER - 2020-10-11 20:23:29,995 - ENVIADO | TIPO: 4 | TAMANHO: 24
SERVER - 2020-10-11 20:23:30,409 - RECEBIDO | TIPO: 3 | TAMANHO: 128 | CRC: b'\x12\r' | PACOTES RECEBIDOS: 7/17
SERVER - 2020-10-11 20:23:30,792 - ENVIADO | TIPO: 4 | TAMANHO: 24
SERVER - 2020-10-11 20:23:31,206 - RECEBIDO | TIPO: 3 | TAMANHO: 128 | CRC: b'&\x98' | PACOTES RECEBIDOS: 8/17
SERVER - 2020-10-11 20:23:31,592 - ENVIADO | TIPO: 4 | TAMANHO: 24
SERVER - 2020-10-11 20:23:31,950 - RECEBIDO | TIPO: 3 | TAMANHO: 128 | CRC: b'\xd5R' | PACOTES RECEBIDOS: 9/17
SERVER - 2020-10-11 20:23:32,337 - ENVIADO | TIPO: 4 | TAMANHO: 24
SERVER - 2020-10-11 20:23:32,745 - RECEBIDO | TIPO: 3 | TAMANHO: 128 | CRC: b'\x14m' | PACOTES RECEBIDOS: 10/17
SERVER - 2020-10-11 20:23:33,133 - ENVIADO | TIPO: 4 | TAMANHO: 24
SERVER - 2020-10-11 20:23:33,504 - RECEBIDO | TIPO: 3 | TAMANHO: 128 | CRC: b'\x1c\x10' | PACOTES RECEBIDOS: 11/17
SERVER - 2020-10-11 20:23:33,893 - ENVIADO | TIPO: 4 | TAMANHO: 24
SERVER - 2020-10-11 20:23:34,266 - RECEBIDO | TIPO: 3 | TAMANHO: 128 | CRC: b'\x12\r' | PACOTES RECEBIDOS: 12/17
SERVER - 2020-10-11 20:23:34,655 - ENVIADO | TIPO: 4 | TAMANHO: 24
SERVER - 2020-10-11 20:23:35,064 - RECEBIDO | TIPO: 3 | TAMANHO: 128 | CRC: b'&\x98' | PACOTES RECEBIDOS: 13/17
SERVER - 2020-10-11 20:23:35,454 - ENVIADO | TIPO: 4 | TAMANHO: 24
SERVER - 2020-10-11 20:23:35,826 - RECEBIDO | TIPO: 3 | TAMANHO: 128 | CRC: b'\xd5R' | PACOTES RECEBIDOS: 14/17
SERVER - 2020-10-11 20:23:36,206 - ENVIADO | TIPO: 4 | TAMANHO: 24
SERVER - 2020-10-11 20:23:36,597 - RECEBIDO | TIPO: 3 | TAMANHO: 128 | CRC: b'\x14m' | PACOTES RECEBIDOS: 15/17
SERVER - 2020-10-11 20:23:36,976 - ENVIADO | TIPO: 4 | TAMANHO: 24
SERVER - 2020-10-11 20:23:37,393 - RECEBIDO | TIPO: 3 | TAMANHO: 128 | CRC: b'\x1c\x10' | PACOTES RECEBIDOS: 16/17
SERVER - 2020-10-11 20:23:37,772 - ENVIADO | TIPO: 4 | TAMANHO: 24
SERVER - 2020-10-11 20:23:38,270 - RECEBIDO | TIPO: 3 | TAMANHO: 101 | CRC: b'\xc3&' | PACOTES RECEBIDOS: 17/17
SERVER - 2020-10-11 20:23:38,654 - ENVIADO | TIPO: 4 | TAMANHO: 24
